Ulcer_stage,Image_Url,Icon_Url
Stage 1,https://drive.google.com/thumbnail?id=1PAg42NRUuGjMjhUN4cCw1rhIhckr-4kF&sz=w1000,https://drive.google.com/thumbnail?id=1Zpi4dM7je4D5nMGc0X6F2ZFunskGSwRw&sz=w1000
Stage 2,https://drive.google.com/thumbnail?id=13HmdOqUMNOw6URV_2mMV3108sIba7Xvs&sz=w1000,https://drive.google.com/thumbnail?id=1559oNtIH1aU7Fz8NL3zdOelOx44BPcKB&sz=w1000
Stage 3,https://drive.google.com/thumbnail?id=1L5svO4fspk8wbmT67RZs20qkGA3FyA3e&sz=w1000,https://drive.google.com/thumbnail?id=1HjwwlcxlCss6VnigA7I0WqYh8xiR7a2k&sz=w1000
Stage 4,https://drive.google.com/thumbnail?id=1FZelx3Q_LiNTLbMG6DVZzQ9AKBWLSPfP&sz=w1000,https://drive.google.com/thumbnail?id=1mw5NyyBSBqYm51fVAXjmsYcbjqGW1nmH&sz=w1000
